image_idx,rgb_file,depth_file,abs_rel,sq_rel,rmse,rmse_log,a1,a2,a3
395,1305031466.527538.png,1305031466.519548.png,0.580609,0.691376,1.130266,1.137299,0.208527,0.443939,0.626077
396,1305031466.560353.png,1305031466.552219.png,0.592820,0.711748,1.125427,1.226760,0.211963,0.432430,0.616954
397,1305031466.595936.png,1305031466.584438.png,0.589732,0.696174,1.088823,1.022117,0.217872,0.428861,0.616114
398,1305031466.627549.png,1305031466.620424.png,0.610274,0.719080,1.052279,0.970114,0.209995,0.425067,0.612474
399,1305031466.659688.png,1305031466.648654.png,0.648667,0.792655,1.073134,1.053660,0.189932,0.406121,0.592563
400,1305031466.695822.png,1305031466.684412.png,0.638526,0.783371,1.079709,0.987833,0.190349,0.402163,0.589184
401,1305031466.728074.png,1305031466.719744.png,0.653143,0.818429,1.083510,0.940874,0.178469,0.406543,0.601668
402,1305031466.759637.png,1305031466.748734.png,0.657116,0.818888,1.055353,0.934561,0.182757,0.405888,0.597403
403,1305031466.795604.png,1305031466.784300.png,0.651896,0.807305,1.059884,0.896375,0.178943,0.403616,0.594167
404,1305031466.827879.png,1305031466.819502.png,0.655794,0.833824,1.083660,0.922729,0.176797,0.407958,0.600742
405,1305031466.859665.png,1305031466.851527.png,0.649729,0.823470,1.077058,0.959083,0.177270,0.403274,0.598070
406,1305031466.895694.png,1305031466.883430.png,0.700375,0.962468,1.134015,0.904744,0.165620,0.391881,0.581023
407,1305031466.927756.png,1305031466.919411.png,0.671155,0.915568,1.144498,1.009214,0.180135,0.411020,0.606124
408,1305031466.959728.png,1305031466.952451.png,0.694486,0.999858,1.214306,1.032512,0.175598,0.403122,0.606499
409,1305031466.995712.png,1305031466.984027.png,0.682237,0.989734,1.237233,1.081919,0.184393,0.410048,0.614284
410,1305031467.027843.png,1305031467.020424.png,0.692364,1.030940,1.263013,1.050474,0.190243,0.416132,0.617752
411,1305031467.059700.png,1305031467.052391.png,0.694957,1.052750,1.283638,1.100239,0.191606,0.420746,0.616859
412,1305031467.095687.png,1305031467.084130.png,0.704268,1.089769,1.294073,1.109633,0.194636,0.424427,0.616353
413,1305031467.128974.png,1305031467.120528.png,0.694298,1.061658,1.278925,1.116140,0.190947,0.425035,0.619914
414,1305031467.159660.png,1305031467.152363.png,0.667749,0.986472,1.233186,1.024772,0.212509,0.440648,0.638201
415,1305031467.195663.png,1305031467.184216.png,0.683929,1.059001,1.273372,1.089694,0.222494,0.447335,0.632586
416,1305031467.227704.png,1305031467.220466.png,0.693625,1.088129,1.296781,1.009671,0.213208,0.437467,0.622903
